,Player_ID,DISPLAY_LAST_COMMA_FIRST,TEAM_NAME,+-AVG,AST,AST/36,AVMIN,BLK,BLK/36,FG/36,FGA,FG_PCT,FT/36,FTM,FT_PCT,MIN,PTS,PTS/36,REB,REB/36
105,203476,"Dieng, Gorgui",Timberwolves,-2.5,22.0,2.01526717557,24.5625,16.0,1.46564885496,8.88549618321,97.0,0.43525,3.48091603053,38.0,0.4739375,393.0,136.0,12.4580152672,121.0,11.0839694656
108,203083,"Drummond, Andre",Pistons,-1.13333333333,8.0,0.628820960699,30.5333333333,22.0,1.72925764192,13.8340611354,176.0,0.5242,2.98689956332,38.0,0.2642,458.0,222.0,17.4497816594,189.0,14.8558951965
120,203105,"Ezeli, Festus",Warriors,4.3,4.0,1.152,12.5,9.0,2.592,9.216,32.0,0.4884,2.016,7.0,0.3,125.0,45.0,12.96,42.0,12.096
132,201188,"Gasol, Marc",Grizzlies,0.857142857143,49.0,3.528,35.7142857143,25.0,1.8,16.2,225.0,0.431714285714,3.888,54.0,0.770857142857,500.0,248.0,17.856,85.0,6.12
139,203497,"Gobert, Rudy",Jazz,3.41666666667,20.0,1.95652173913,30.6666666667,30.0,2.9347826087,7.23913043478,74.0,0.628333333333,2.73913043478,28.0,0.446416666667,368.0,120.0,11.7391304348,121.0,11.8369565217
144,101162,"Gortat, Marcin",Wizards,-1.5,19.0,1.77202072539,32.1666666667,18.0,1.67875647668,10.3523316062,111.0,0.604083333333,1.9585492228,21.0,0.510916666667,386.0,151.0,14.0829015544,129.0,12.0310880829
164,201150,"Hawes, Spencer",Hornets,-0.666666666667,36.0,3.9754601227,21.7333333333,7.0,0.773006134969,10.8220858896,98.0,0.311133333333,1.43558282209,13.0,0.4,326.0,95.0,10.490797546,81.0,8.94478527607
169,201579,"Hibbert, Roy",Lakers,-8.0,18.0,1.68311688312,22.6470588235,27.0,2.52467532468,10.0987012987,108.0,0.419117647059,1.12207792208,12.0,0.352941176471,385.0,108.0,10.0987012987,68.0,6.35844155844
179,200797,"Hollins, Ryan",Grizzlies,-4.125,3.0,1.24137931034,10.875,7.0,2.89655172414,7.86206896552,19.0,0.41675,2.48275862069,6.0,0.34375,87.0,28.0,11.5862068966,22.0,9.10344827586
182,201143,"Horford, Al",Hawks,-0.0666666666667,48.0,3.59251559252,32.0666666667,25.0,1.8711018711,13.9958419958,187.0,0.514,1.12266112266,15.0,0.426666666667,481.0,222.0,16.6153846154,100.0,7.48440748441
183,2730,"Howard, Dwight",Rockets,-0.333333333333,14.0,1.34759358289,31.1666666667,14.0,1.34759358289,10.7807486631,112.0,0.534166666667,6.16042780749,64.0,0.575,374.0,196.0,18.8663101604,143.0,13.7647058824
208,203999,"Jokic, Nikola",Nuggets,2.2,44.0,5.02857142857,21.0,9.0,1.02857142857,11.6571428571,102.0,0.511933333333,2.97142857143,26.0,0.549933333333,315.0,140.0,16.0,91.0,10.4
212,201599,"Jordan, DeAndre",Clippers,9.5,16.0,1.36492890995,35.1666666667,22.0,1.87677725118,6.99526066351,82.0,0.697666666667,4.18009478673,49.0,0.503083333333,422.0,165.0,14.0758293839,181.0,15.4407582938
216,202683,"Kanter, Enes",Thunder,0.125,5.0,0.523255813953,21.5,10.0,1.04651162791,15.6976744186,150.0,0.46475,3.55813953488,34.0,0.6341875,344.0,189.0,19.7790697674,106.0,11.0930232558
223,201585,"Koufos, Kosta",Kings,-3.4,7.0,1.07234042553,15.6666666667,13.0,1.9914893617,9.1914893617,60.0,0.402666666667,1.53191489362,10.0,0.243333333333,235.0,72.0,11.029787234,74.0,11.3361702128
232,203458,"Len, Alex",Suns,-7.54545454545,16.0,2.3606557377,22.1818181818,12.0,1.77049180328,10.3278688525,70.0,0.416727272727,2.06557377049,14.0,0.454545454545,244.0,78.0,11.5081967213,76.0,11.2131147541
234,203086,"Leonard, Meyers",Trail Blazers,2.92857142857,20.0,2.39202657807,21.5,3.0,0.358803986711,12.0797342193,101.0,0.487285714286,0.358803986711,3.0,0.0714285714286,301.0,125.0,14.950166113,74.0,8.85049833887
240,201572,"Lopez, Brook",Nets,-0.5,25.0,1.70132325142,33.0625,26.0,1.76937618147,17.6257088847,259.0,0.5220625,4.76370510397,70.0,0.6636875,529.0,340.0,23.1379962193,134.0,9.1190926276
241,201577,"Lopez, Robin",Knicks,1.58823529412,19.0,1.50660792952,26.7058823529,27.0,2.140969163,11.7356828194,148.0,0.556588235294,2.140969163,27.0,0.509823529412,454.0,193.0,15.3039647577,121.0,9.59471365639
246,101133,"Mahinmi, Ian",Pacers,1.81818181818,13.0,1.77946768061,23.9090909091,10.0,1.36882129278,7.80228136882,57.0,0.512454545455,3.96958174905,29.0,0.546636363636,263.0,99.0,13.5513307985,79.0,10.8136882129
248,1626246,"Marjanovic, Boban",Spurs,1.09090909091,7.0,2.016,11.3636363636,3.0,0.864,14.688,51.0,0.477363636364,6.336,22.0,0.463636363636,125.0,82.0,23.616,51.0,14.688
261,201580,"McGee, JaVale",Mavericks,-1.2,0.0,0.0,12.6666666667,19.0,3.6,13.6421052632,72.0,0.628866666667,1.89473684211,10.0,0.333333333333,190.0,98.0,18.5684210526,70.0,13.2631578947
